2024-05-22 21:41:33 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.50 TL, Degisim: -0.02 TL, Yuzde Degisim: -0.23%
2024-05-22 21:41:48 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.50 TL, Degisim: -0.02 TL, Yuzde Degisim: -0.23%
2024-05-22 21:42:03 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.50 TL, Degisim: -0.02 TL, Yuzde Degisim: -0.23%
2024-05-22 21:42:17 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.50 TL, Degisim: -0.02 TL, Yuzde Degisim: -0.23%
2024-05-22 21:42:32 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.50 TL, Degisim: -0.02 TL, Yuzde Degisim: -0.23%
2024-05-22 21:42:47 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.50 TL, Degisim: -0.02 TL, Yuzde Degisim: -0.23%
2024-05-22 21:43:02 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.50 TL, Degisim: -0.02 TL, Yuzde Degisim: -0.23%
2024-05-22 21:43:16 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.50 TL, Degisim: -0.02 TL, Yuzde Degisim: -0.23%
2024-05-22 21:43:32 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.50 TL, Degisim: -0.02 TL, Yuzde Degisim: -0.23%
2024-05-22 21:43:46 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.50 TL, Degisim: -0.02 TL, Yuzde Degisim: -0.23%
2024-05-22 21:44:01 - LILAK: Onceki Kapanis: 8.50 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:44:15 - LILAK: Onceki Kapanis: 8.50 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:44:30 - LILAK: Onceki Kapanis: 8.50 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:44:44 - LILAK: Onceki Kapanis: 8.50 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:44:59 - LILAK: Onceki Kapanis: 8.50 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:45:14 - LILAK: Onceki Kapanis: 8.50 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:45:29 - LILAK: Onceki Kapanis: 8.50 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:45:45 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.52 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.12%
2024-05-22 21:46:03 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:46:18 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:46:32 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:46:46 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:47:00 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:47:09 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:47:13 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:47:23 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:47:28 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:47:36 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:47:43 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:47:50 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:47:58 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:48:04 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:48:14 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:48:18 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:48:28 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:48:33 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:48:43 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:48:46 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:49:00 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:49:00 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
2024-05-22 21:49:15 - LILAK: Onceki Kapanis: 8.51 TL, Son Kapanis: 8.51 TL, Degisim: 0.01 TL, Yuzde Degisim: 0.06%
